Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
INN21951,3,0,2,1,Meal Plan 1,0,Room_Type 1,2,2018,8,28,Offline,0,0,0,123,1,Not_Canceled
INN12575,2,0,0,1,Not Selected,1,Room_Type 1,5,2018,8,17,Online,0,0,0,127,2,Not_Canceled
INN13832,3,0,2,0,Meal Plan 1,0,Room_Type 4,1,2018,11,6,Online,0,0,0,232.5,1,Not_Canceled
INN23232,3,0,0,3,Meal Plan 2,0,Room_Type 4,49,2018,3,30,Online,0,0,0,174.6,1,Not_Canceled
INN01336,3,0,2,1,Meal Plan 2,0,Room_Type 4,20,2018,2,13,Online,0,0,0,187,2,Not_Canceled
INN06447,2,0,0,1,Not Selected,0,Room_Type 1,50,2018,11,17,Online,0,0,0,79.2,1,Not_Canceled
INN15250,2,0,1,2,Meal Plan 2,0,Room_Type 1,161,2018,3,25,Offline,0,0,0,130,0,Canceled
INN11612,2,0,2,3,Meal Plan 1,0,Room_Type 1,41,2018,2,5,Online,0,0,0,79.43,0,Not_Canceled
INN32180,3,0,2,3,Meal Plan 1,0,Room_Type 4,55,2018,5,12,Online,0,0,0,150.45,2,Not_Canceled
INN20855,1,0,2,1,Meal Plan 1,0,Room_Type 4,25,2018,6,12,Online,0,0,0,126,0,Canceled
INN28563,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,5,11,Offline,0,0,0,135,0,Not_Canceled
INN20279,2,0,1,1,Meal Plan 1,1,Room_Type 1,73,2018,6,11,Online,0,0,0,135.9,0,Not_Canceled
INN09566,2,0,1,4,Meal Plan 1,1,Room_Type 4,17,2018,6,1,Online,0,0,0,144.84,1,Not_Canceled
INN24643,2,0,2,2,Meal Plan 1,0,Room_Type 1,166,2018,6,19,Online,0,0,0,100.3,1,Canceled
INN20796,2,0,1,1,Not Selected,0,Room_Type 1,33,2018,6,20,Online,0,0,0,89.1,1,Not_Canceled
INN27638,2,0,1,3,Meal Plan 1,0,Room_Type 4,105,2018,5,2,Online,0,0,0,110.08,1,Not_Canceled
INN00150,2,0,2,3,Meal Plan 1,0,Room_Type 4,73,2018,4,7,Online,0,0,0,107.1,0,Canceled
INN15746,2,0,2,2,Meal Plan 1,0,Room_Type 1,230,2018,9,18,Online,0,0,0,119.85,1,Canceled
INN00599,2,0,3,7,Meal Plan 1,0,Room_Type 1,74,2017,7,27,Online,0,0,0,55.9,0,Not_Canceled
INN27598,2,0,2,2,Meal Plan 1,0,Room_Type 1,146,2018,7,16,Online,0,0,0,99.45,1,Not_Canceled
INN00645,2,0,2,2,Not Selected,0,Room_Type 1,12,2018,2,6,Online,0,0,0,55.72,0,Not_Canceled
INN26188,1,0,1,5,Meal Plan 1,0,Room_Type 1,118,2018,6,6,Offline,0,0,0,110,2,Not_Canceled
INN06692,2,0,0,3,Meal Plan 1,0,Room_Type 1,19,2017,10,6,Offline,1,1,0,90,0,Not_Canceled
INN03894,1,0,0,2,Meal Plan 1,0,Room_Type 1,192,2018,6,24,Offline,0,0,0,95,0,Not_Canceled
INN13433,2,0,2,2,Not Selected,0,Room_Type 1,98,2018,8,14,Online,0,0,0,78.35,1,Not_Canceled
INN16802,1,0,0,3,Meal Plan 1,0,Room_Type 1,166,2018,11,1,Offline,0,0,0,110,0,Canceled
INN06028,2,1,1,3,Meal Plan 1,0,Room_Type 1,83,2018,7,18,Online,0,0,0,123.75,0,Canceled
INN14279,2,1,2,2,Meal Plan 1,0,Room_Type 1,65,2018,9,2,Online,0,0,0,114.3,3,Not_Canceled
INN07331,2,0,1,0,Meal Plan 1,0,Room_Type 1,263,2017,9,21,Offline,0,0,0,67,0,Not_Canceled
INN17284,2,0,2,2,Meal Plan 1,0,Room_Type 1,11,2017,10,23,Offline,0,0,0,88.5,0,Not_Canceled
INN11308,2,0,0,2,Meal Plan 1,0,Room_Type 1,9,2017,11,18,Corporate,0,0,0,75,0,Not_Canceled
INN15716,2,0,1,3,Meal Plan 1,0,Room_Type 1,85,2018,10,6,Offline,0,0,0,85,1,Not_Canceled
INN09593,2,0,1,3,Meal Plan 1,0,Room_Type 4,17,2018,12,29,Online,0,0,0,125.8,1,Not_Canceled
INN06738,2,0,0,2,Meal Plan 1,0,Room_Type 1,245,2018,6,17,Online,0,0,0,75,0,Canceled
INN05667,2,0,2,5,Meal Plan 1,0,Room_Type 2,259,2018,11,12,Online,0,0,0,72,0,Canceled
INN03612,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,8,13,Online,0,0,0,138,0,Not_Canceled
INN08112,2,0,0,1,Meal Plan 1,0,Room_Type 1,56,2018,6,8,Offline,0,0,0,120,0,Not_Canceled
INN13674,2,0,1,1,Not Selected,1,Room_Type 1,4,2018,8,8,Online,0,0,0,168,2,Not_Canceled
INN05576,2,0,0,3,Meal Plan 1,0,Room_Type 4,130,2018,9,29,Online,0,0,0,139.5,2,Not_Canceled
INN24660,2,0,2,4,Meal Plan 1,0,Room_Type 1,35,2018,2,13,Online,0,0,0,78.3,1,Not_Canceled
INN03997,1,0,0,3,Meal Plan 1,0,Room_Type 1,71,2018,6,14,Offline,0,0,0,120,0,Not_Canceled
INN35232,2,0,0,1,Meal Plan 2,1,Room_Type 1,37,2018,3,18,Online,0,0,0,125.1,1,Not_Canceled
INN22226,1,0,0,2,Meal Plan 1,0,Room_Type 1,32,2017,11,20,Offline,0,0,0,73,0,Not_Canceled
INN18630,2,0,0,4,Meal Plan 1,0,Room_Type 2,31,2018,11,23,Online,0,0,0,77.86,2,Canceled
INN13361,1,0,1,3,Meal Plan 1,0,Room_Type 1,10,2018,1,14,Online,0,0,0,79.3,0,Not_Canceled
INN10640,2,1,0,2,Meal Plan 1,0,Room_Type 1,135,2018,7,5,Online,0,0,0,126,1,Not_Canceled
INN23440,1,0,1,2,Meal Plan 1,0,Room_Type 1,32,2018,7,25,Online,0,0,0,130.5,1,Canceled
INN23558,1,0,0,3,Meal Plan 1,0,Room_Type 1,2,2018,11,16,Offline,0,0,0,120,0,Not_Canceled
INN18123,2,0,0,3,Not Selected,0,Room_Type 1,123,2018,5,17,Online,0,0,0,94.5,1,Not_Canceled
INN09088,2,0,0,1,Meal Plan 1,0,Room_Type 4,51,2018,5,27,Online,0,0,0,158,0,Canceled
INN00141,1,0,1,2,Meal Plan 1,0,Room_Type 1,13,2018,5,9,Offline,0,0,0,90,0,Not_Canceled
INN03365,2,0,2,2,Not Selected,0,Room_Type 1,42,2018,12,9,Online,0,0,0,74.8,1,Not_Canceled
INN10919,2,0,0,1,Not Selected,0,Room_Type 1,52,2018,11,5,Online,0,0,0,88,1,Not_Canceled
INN14827,3,0,0,3,Meal Plan 1,0,Room_Type 1,85,2018,7,5,Offline,0,0,0,86.36,0,Not_Canceled
INN24664,2,0,0,2,Not Selected,0,Room_Type 1,22,2018,9,6,Online,0,0,0,118,1,Canceled
INN05397,1,0,0,1,Not Selected,0,Room_Type 1,3,2018,8,13,Online,0,0,0,168,2,Not_Canceled
INN20135,2,0,0,3,Meal Plan 1,0,Room_Type 1,31,2017,11,26,Online,0,0,0,96.3,1,Not_Canceled
INN27396,2,0,2,2,Meal Plan 1,0,Room_Type 1,136,2018,7,2,Online,0,0,0,93.08,0,Canceled
INN16921,2,0,0,2,Meal Plan 1,0,Room_Type 1,14,2018,7,21,Corporate,0,0,0,105,0,Not_Canceled
INN26639,1,0,0,1,Meal Plan 1,0,Room_Type 1,99,2018,2,19,Corporate,0,0,0,80,0,Not_Canceled
INN33520,2,0,0,1,Meal Plan 1,0,Room_Type 1,64,2018,9,24,Offline,0,0,0,85,0,Not_Canceled
INN03854,2,0,0,3,Meal Plan 1,0,Room_Type 4,88,2018,10,20,Online,0,0,0,132.3,1,Not_Canceled
INN18189,1,0,2,2,Not Selected,0,Room_Type 1,21,2018,10,29,Online,0,0,0,109,1,Not_Canceled
INN05922,2,1,1,1,Meal Plan 1,0,Room_Type 1,162,2018,7,16,Online,0,0,0,130.5,2,Canceled
INN21682,1,0,0,3,Meal Plan 1,0,Room_Type 1,71,2018,6,14,Offline,0,0,0,120,0,Not_Canceled
INN07611,2,0,0,1,Meal Plan 1,0,Room_Type 1,16,2017,9,30,Online,0,0,0,97.02,1,Not_Canceled
INN24615,2,0,0,1,Meal Plan 1,0,Room_Type 4,43,2018,5,18,Online,0,0,0,149.4,1,Not_Canceled
INN00806,2,0,1,0,Meal Plan 1,0,Room_Type 1,81,2017,12,6,Online,0,0,0,76.5,2,Not_Canceled
INN30122,3,0,2,2,Meal Plan 1,0,Room_Type 4,6,2018,7,2,Online,0,0,0,180,2,Not_Canceled
INN09044,2,0,1,3,Meal Plan 1,0,Room_Type 1,210,2017,10,8,Offline,0,0,0,72.75,0,Not_Canceled
INN34970,2,0,0,3,Meal Plan 1,0,Room_Type 1,59,2017,10,29,Online,0,0,0,72.25,2,Not_Canceled
INN24904,1,0,0,2,Meal Plan 2,0,Room_Type 1,377,2018,10,14,Offline,0,0,0,90,1,Canceled
INN29821,1,0,0,3,Meal Plan 1,0,Room_Type 1,19,2017,10,6,Offline,1,1,0,80,0,Not_Canceled
INN11431,1,0,0,1,Meal Plan 1,0,Room_Type 1,99,2018,2,19,Corporate,0,0,0,81,0,Not_Canceled
INN22748,1,0,0,3,Meal Plan 1,0,Room_Type 1,133,2018,6,9,Online,0,0,0,121.5,1,Not_Canceled
INN07566,2,0,0,3,Meal Plan 1,0,Room_Type 4,8,2018,11,30,Online,0,0,0,114,0,Canceled
INN31251,2,0,1,2,Meal Plan 1,0,Room_Type 4,88,2018,7,15,Offline,0,0,0,82.45,0,Canceled
INN27348,1,0,0,1,Meal Plan 2,0,Room_Type 1,3,2018,4,9,Complementary,0,0,0,0,0,Not_Canceled
INN14783,2,0,0,2,Meal Plan 1,0,Room_Type 1,15,2018,7,8,Offline,0,0,0,118.15,2,Not_Canceled
INN07430,2,0,1,2,Not Selected,0,Room_Type 1,22,2018,11,14,Online,0,0,0,64.37,1,Not_Canceled
INN14833,1,0,1,0,Not Selected,0,Room_Type 1,117,2018,10,2,Online,0,0,0,108,2,Not_Canceled
INN15698,2,0,0,2,Not Selected,0,Room_Type 1,1,2018,6,17,Online,0,0,0,77.71,0,Not_Canceled
INN01155,1,0,0,4,Not Selected,0,Room_Type 1,12,2018,11,9,Online,0,0,0,120.06,1,Not_Canceled
INN04009,2,0,2,2,Meal Plan 1,0,Room_Type 1,138,2018,4,23,Online,0,0,0,90.95,0,Not_Canceled
INN13179,2,0,0,3,Not Selected,0,Room_Type 1,88,2018,12,15,Online,0,0,0,79.2,1,Not_Canceled
INN25067,2,0,0,1,Not Selected,0,Room_Type 1,81,2018,5,19,Online,0,0,0,116.1,0,Canceled
INN01571,2,0,2,2,Meal Plan 1,0,Room_Type 1,175,2018,11,12,Online,0,0,0,83.01,2,Canceled
INN07876,2,0,2,4,Meal Plan 1,0,Room_Type 1,53,2018,11,13,Online,0,0,0,88.4,1,Not_Canceled
INN17450,1,0,1,4,Not Selected,0,Room_Type 1,13,2018,10,31,Online,0,0,0,92,0,Canceled
INN22980,1,0,0,1,Meal Plan 1,0,Room_Type 5,6,2018,5,26,Online,0,0,0,197,2,Not_Canceled
INN00286,2,0,0,2,Not Selected,1,Room_Type 1,1,2018,8,10,Online,0,0,0,167,0,Not_Canceled
INN05330,2,0,2,5,Meal Plan 2,0,Room_Type 4,42,2018,3,12,Online,0,0,0,127.79,1,Not_Canceled
INN19013,2,0,2,1,Meal Plan 1,0,Room_Type 4,61,2018,6,12,Offline,0,0,0,90.95,1,Not_Canceled
INN00709,1,0,0,2,Meal Plan 1,0,Room_Type 1,188,2018,6,15,Online,0,0,0,130,0,Canceled
INN14533,2,0,1,1,Meal Plan 1,0,Room_Type 1,15,2018,5,9,Online,0,0,0,111,1,Not_Canceled
INN06831,2,0,0,1,Meal Plan 1,0,Room_Type 2,144,2018,8,18,Online,0,0,0,106.54,1,Not_Canceled
INN31293,2,0,0,2,Meal Plan 2,0,Room_Type 1,39,2017,8,14,Offline,0,0,0,101.5,0,Not_Canceled
INN14335,2,0,1,2,Meal Plan 1,0,Room_Type 1,168,2018,4,22,Offline,0,0,0,85,0,Canceled
INN20109,1,0,1,1,Meal Plan 1,0,Room_Type 1,152,2018,7,11,Online,0,0,0,109,1,Canceled
INN05613,2,0,1,2,Not Selected,0,Room_Type 1,23,2018,10,17,Online,0,0,0,119,3,Not_Canceled
INN10148,2,0,0,2,Meal Plan 1,0,Room_Type 1,22,2018,5,20,Offline,0,0,0,140,0,Not_Canceled
INN35756,2,0,1,3,Not Selected,0,Room_Type 1,72,2018,12,19,Online,0,0,0,74.8,0,Canceled
INN05165,1,0,0,2,Meal Plan 1,0,Room_Type 4,31,2018,3,24,Online,0,0,0,144.9,0,Canceled
INN17381,2,0,1,0,Not Selected,0,Room_Type 1,104,2018,10,9,Online,0,0,0,108,1,Canceled
INN23564,2,0,0,3,Meal Plan 1,0,Room_Type 1,44,2018,2,17,Offline,0,0,0,75,0,Not_Canceled
INN22391,1,0,1,2,Meal Plan 1,0,Room_Type 1,57,2018,11,18,Online,0,0,0,86.4,1,Canceled
INN00240,2,0,1,0,Not Selected,0,Room_Type 1,31,2018,4,24,Online,0,0,0,94.5,0,Canceled
INN34396,1,0,2,4,Meal Plan 1,0,Room_Type 1,245,2018,7,6,Offline,0,0,0,110,0,Canceled
INN29103,2,0,0,4,Meal Plan 2,0,Room_Type 1,113,2018,12,6,Online,0,0,0,117.3,3,Not_Canceled
INN22299,1,0,1,2,Meal Plan 1,0,Room_Type 1,180,2018,10,10,Offline,0,0,0,120,0,Canceled
INN28173,1,0,0,1,Meal Plan 1,0,Room_Type 1,4,2018,11,22,Corporate,1,0,2,65,0,Not_Canceled
INN22753,3,0,0,1,Meal Plan 1,0,Room_Type 4,13,2018,6,23,Online,0,0,0,127,2,Not_Canceled
INN32557,3,0,0,1,Meal Plan 1,0,Room_Type 1,160,2018,7,5,Offline,0,0,0,96.9,1,Not_Canceled
INN20419,2,0,0,3,Meal Plan 1,0,Room_Type 1,36,2018,5,11,Online,0,0,0,126.9,2,Not_Canceled
INN30413,2,0,0,3,Meal Plan 1,0,Room_Type 4,30,2018,10,5,Online,0,0,0,157.5,0,Canceled
INN09929,2,0,1,3,Not Selected,0,Room_Type 1,7,2018,2,8,Online,0,0,0,81,1,Not_Canceled
INN21079,1,0,2,0,Meal Plan 1,0,Room_Type 1,3,2017,9,27,Corporate,1,0,1,65,0,Not_Canceled
INN19855,1,0,2,3,Meal Plan 1,0,Room_Type 1,4,2018,9,18,Complementary,0,0,0,0,0,Not_Canceled
INN02109,2,0,2,5,Meal Plan 1,0,Room_Type 1,83,2017,7,6,Online,0,0,0,76.5,1,Canceled
INN18411,2,0,1,4,Meal Plan 1,0,Room_Type 1,275,2018,10,5,Offline,0,0,0,90,0,Canceled
INN07596,1,0,2,1,Meal Plan 1,0,Room_Type 1,93,2018,10,15,Online,0,0,0,115,0,Canceled
INN19542,1,2,2,3,Meal Plan 2,0,Room_Type 4,9,2018,8,25,Online,0,0,0,176.42,2,Not_Canceled
INN20742,2,0,2,0,Not Selected,0,Room_Type 1,140,2018,7,17,Online,0,0,0,94.5,0,Canceled
INN07161,2,0,6,14,Meal Plan 1,0,Room_Type 1,6,2018,1,10,Online,0,0,0,87.7,1,Not_Canceled
INN10149,2,0,2,3,Meal Plan 1,0,Room_Type 1,276,2018,5,13,Offline,0,0,0,61,0,Canceled
INN34898,2,0,1,2,Not Selected,1,Room_Type 1,47,2018,2,26,Online,0,0,0,81.5,1,Not_Canceled
INN13593,2,0,1,2,Not Selected,0,Room_Type 1,141,2018,8,29,Online,0,0,0,85.5,2,Not_Canceled
INN08940,1,0,0,1,Meal Plan 1,0,Room_Type 1,28,2018,2,4,Online,0,0,0,81,0,Canceled
INN32884,2,0,0,3,Meal Plan 1,0,Room_Type 1,308,2018,11,23,Online,0,0,0,88,1,Canceled
INN14701,2,1,2,3,Meal Plan 2,0,Room_Type 1,39,2018,8,13,Online,0,0,0,203.85,2,Not_Canceled
INN29004,2,0,1,5,Meal Plan 1,0,Room_Type 1,40,2017,10,19,Online,0,0,0,104.85,1,Not_Canceled
INN24624,2,0,2,2,Meal Plan 1,0,Room_Type 4,4,2018,1,24,Online,0,0,0,63.6,0,Not_Canceled
INN02984,1,0,0,2,Meal Plan 1,0,Room_Type 1,14,2017,10,15,Offline,0,0,0,100,0,Not_Canceled
INN20583,1,0,0,2,Meal Plan 1,0,Room_Type 1,1,2018,1,27,Online,0,0,0,71.7,0,Not_Canceled
INN21562,3,0,0,2,Meal Plan 1,0,Room_Type 1,6,2017,12,3,Offline,0,0,0,77,0,Not_Canceled
INN06979,2,0,0,3,Meal Plan 1,0,Room_Type 1,87,2018,6,9,Online,0,0,0,97.71,0,Not_Canceled
INN32196,1,0,1,1,Meal Plan 1,0,Room_Type 1,43,2018,4,2,Online,0,0,0,107.1,0,Canceled
INN17930,2,0,1,2,Meal Plan 1,0,Room_Type 1,168,2018,4,22,Offline,0,0,0,85,0,Canceled
INN36217,2,0,1,1,Not Selected,0,Room_Type 1,0,2018,8,27,Online,0,0,0,149,0,Not_Canceled
INN23001,2,0,1,2,Meal Plan 2,0,Room_Type 1,45,2018,9,5,Online,0,0,0,145.2,1,Canceled
INN05840,2,0,1,2,Meal Plan 1,0,Room_Type 1,83,2018,6,10,Online,0,0,0,126.9,3,Not_Canceled
INN09367,2,1,1,1,Meal Plan 2,0,Room_Type 1,188,2018,8,8,Online,0,0,0,164.25,1,Canceled
INN03744,3,0,1,4,Meal Plan 1,0,Room_Type 4,99,2018,9,5,Online,0,0,0,168.3,0,Canceled
INN07317,2,0,1,1,Not Selected,0,Room_Type 1,14,2018,1,23,Online,0,0,0,69.5,1,Not_Canceled
INN19305,2,1,0,2,Meal Plan 1,1,Room_Type 1,91,2018,8,3,Online,0,0,0,148.5,1,Not_Canceled
INN17817,2,0,1,1,Not Selected,0,Room_Type 1,19,2018,5,9,Online,0,0,0,99,2,Not_Canceled
INN07378,1,0,1,2,Meal Plan 1,0,Room_Type 1,4,2017,9,28,Corporate,1,0,1,65,0,Not_Canceled
INN23688,1,0,0,2,Meal Plan 1,0,Room_Type 1,41,2018,2,9,Online,0,0,0,57.83,1,Not_Canceled
INN02858,2,0,2,1,Meal Plan 1,0,Room_Type 1,221,2017,10,17,Offline,0,0,0,65,0,Not_Canceled
INN33766,2,0,0,2,Not Selected,0,Room_Type 1,140,2018,9,7,Online,0,0,0,116.1,0,Canceled
INN32013,2,0,2,2,Meal Plan 1,0,Room_Type 1,115,2018,2,27,Offline,0,0,0,87,0,Not_Canceled
INN10414,2,0,0,2,Not Selected,0,Room_Type 1,0,2018,4,1,Online,0,0,0,75.42,0,Not_Canceled
INN29742,2,0,0,4,Meal Plan 1,0,Room_Type 1,178,2018,8,3,Online,0,0,0,99.45,1,Not_Canceled
INN26326,1,0,0,1,Meal Plan 1,0,Room_Type 1,2,2018,1,27,Complementary,0,0,0,0,0,Not_Canceled
INN07269,2,0,1,1,Meal Plan 1,0,Room_Type 1,21,2018,2,13,Online,0,0,0,91,0,Canceled
INN22480,1,0,0,1,Meal Plan 1,0,Room_Type 1,73,2018,10,28,Offline,0,0,0,62.5,0,Not_Canceled
INN33072,2,0,0,3,Meal Plan 1,0,Room_Type 1,43,2018,10,27,Offline,0,0,0,85.5,0,Not_Canceled
INN34323,3,0,0,2,Meal Plan 1,0,Room_Type 4,135,2018,8,2,Online,0,0,0,137.7,0,Canceled
INN14273,2,0,2,0,Not Selected,0,Room_Type 1,3,2018,6,26,Online,0,0,0,113,2,Not_Canceled
INN15726,2,0,1,1,Meal Plan 1,0,Room_Type 1,48,2018,8,22,Online,0,0,0,144.9,0,Not_Canceled
INN22397,1,0,0,2,Meal Plan 2,0,Room_Type 1,39,2017,8,14,Offline,0,0,0,87,0,Not_Canceled
INN35177,1,0,0,1,Meal Plan 1,0,Room_Type 5,2,2018,6,2,Corporate,0,0,0,109,0,Not_Canceled
INN19290,1,0,0,3,Meal Plan 1,0,Room_Type 1,66,2018,11,3,Online,0,0,0,93.6,3,Not_Canceled
INN32357,2,0,0,1,Meal Plan 1,0,Room_Type 1,4,2018,9,20,Online,0,0,0,169,1,Not_Canceled
INN05455,2,0,1,3,Meal Plan 1,1,Room_Type 1,0,2017,11,9,Online,0,0,0,106,1,Not_Canceled
INN26118,2,0,0,2,Meal Plan 2,0,Room_Type 1,377,2018,10,14,Offline,0,0,0,115,1,Canceled
INN28899,2,0,1,5,Meal Plan 1,0,Room_Type 1,37,2018,2,15,Online,0,0,0,79.8,1,Not_Canceled
INN26029,2,0,2,1,Meal Plan 1,0,Room_Type 1,84,2018,3,27,Online,0,0,0,90.3,1,Canceled
INN28990,2,0,0,1,Meal Plan 1,0,Room_Type 1,56,2018,6,8,Offline,0,0,0,120,0,Not_Canceled
INN33839,2,0,0,4,Meal Plan 1,0,Room_Type 1,1,2017,11,10,Online,0,0,0,97,1,Not_Canceled
INN24047,2,0,2,1,Meal Plan 1,0,Room_Type 1,61,2018,8,28,Offline,0,0,0,78.25,0,Not_Canceled
INN00032,2,0,2,2,Meal Plan 1,0,Room_Type 1,107,2018,11,13,Online,0,0,0,87.5,1,Not_Canceled
INN24588,2,2,0,2,Not Selected,0,Room_Type 6,39,2017,10,16,Online,0,0,0,156.6,1,Not_Canceled
INN06027,2,0,0,2,Meal Plan 1,0,Room_Type 2,330,2018,10,14,Online,0,0,0,106.7,1,Canceled
INN00454,2,0,0,1,Meal Plan 1,0,Room_Type 1,56,2018,6,8,Offline,0,0,0,120,0,Not_Canceled
INN22068,2,0,2,2,Meal Plan 1,0,Room_Type 1,103,2018,12,31,Offline,0,0,0,125,0,Not_Canceled
