...1,TRANSACTION_ID,TX_DATETIME,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_TIME_SECONDS,TX_TIME_DAYS,TX_FRAUD,TX_FRAUD_SCENARIO
1406272,1406272,2023-05-27T14:59:42Z,743,2067,133.65,12668382,146,0,0
744047,744047,2023-03-19T13:00:46Z,3411,83,93.13,6699646,77,0,0
926562,926562,2023-04-07T12:48:15Z,1988,3338,94.42,8340495,96,0,0
1245927,1245927,2023-05-10T20:19:45Z,4174,7937,122.63,11218785,129,0,0
1103859,1103859,2023-04-26T06:22:20Z,2938,4749,292.71,9958940,115,0,0
106932,106932,2023-01-12T06:43:24Z,3993,5513,41.19,974604,11,0,0
1542492,1542492,2023-06-10T20:37:44Z,2020,8603,41.57,13898264,160,0,0
637497,637497,2023-03-08T11:38:56Z,4416,6339,1612.41,5744336,66,1,1
435183,435183,2023-02-15T09:54:54Z,4572,5162,2037.5,3923694,45,1,1
1531494,1531494,2023-06-09T16:39:01Z,588,3037,977.54,13797541,159,0,0
114094,114094,2023-01-12T19:01:07Z,571,3441,838.78,1018867,11,0,0
433159,433159,2023-02-15T06:19:34Z,3893,6473,28.3,3910774,45,0,0
841843,841843,2023-03-29T16:34:24Z,1762,9101,121.22,7576464,87,0,0
84267,84267,2023-01-09T16:33:41Z,2711,156,345.88,750821,8,0,0
1690,1690,2023-01-01T07:11:06Z,1318,4822,1054.55,25866,0,1,1
1025268,1025268,2023-04-17T19:31:01Z,2758,6259,937.13,9228661,106,0,0
728488,728488,2023-03-17T21:38:18Z,2510,9046,612.68,6557898,75,0,0
1733724,1733724,2023-06-30T17:48:48Z,4531,6945,1606.18,15616128,180,1,1
1601180,1601180,2023-06-17T03:31:09Z,3357,9204,465.68,14441469,167,0,0
896627,896627,2023-04-04T11:39:51Z,1608,4110,548.18,8077191,93,0,0
929005,929005,2023-04-07T16:46:27Z,809,4822,565.98,8354787,96,0,0
1219809,1219809,2023-05-08T08:14:27Z,4100,3605,545.2,11002467,127,0,0
1585529,1585529,2023-06-15T10:47:35Z,3337,1970,233.55,14294855,165,0,0
875883,875883,2023-04-02T09:27:18Z,3861,6232,833.35,7896438,91,0,0
1100929,1100929,2023-04-25T17:07:38Z,1124,1717,375.9,9911258,114,0,0
1310935,1310935,2023-05-17T15:25:14Z,3837,1144,375.54,11805914,136,0,0
1601535,1601535,2023-06-17T04:44:20Z,3163,3175,25.36,14445860,167,0,0
1444128,1444128,2023-05-31T14:20:28Z,2133,5923,1071.79,13011628,150,1,1
1252169,1252169,2023-05-11T13:06:49Z,1628,8827,268.35,11279209,130,0,0
1729001,1729001,2023-06-30T10:09:49Z,1456,3585,358.63,15588589,180,0,0
36304,36304,2023-01-04T16:11:10Z,1929,8661,104.69,317470,3,0,0
789078,789078,2023-03-24T09:00:46Z,483,3051,124.9,7117246,82,0,0
596067,596067,2023-03-04T06:18:37Z,398,7761,103.08,5379517,62,0,0
647726,647726,2023-03-09T12:27:33Z,3408,6919,1067.15,5833653,67,1,1
1426167,1426167,2023-05-29T15:59:39Z,3024,8923,514.68,12844779,148,0,0
1250782,1250782,2023-05-11T11:13:33Z,3670,7038,340.66,11272413,130,0,0
934668,934668,2023-04-08T10:44:53Z,2405,4399,664.85,8419493,97,0,0
86411,86411,2023-01-10T02:21:52Z,3450,2383,931.92,786112,9,0,0
89471,89471,2023-01-10T09:52:17Z,1854,6691,34.69,813137,9,0,0
194539,194539,2023-01-21T09:23:51Z,3695,4045,287.17,1761831,20,0,0
1134182,1134182,2023-04-29T09:16:28Z,2032,5050,1037.15,10228588,118,1,1
1223918,1223918,2023-05-08T14:27:56Z,387,3384,1035.17,11024876,127,1,1
1561580,1561580,2023-06-12T19:09:58Z,2321,4697,1078.23,14065798,162,1,1
1698124,1698124,2023-06-27T06:03:04Z,3833,825,1072.88,15314584,177,1,1
1563290,1563290,2023-06-13T05:12:17Z,1711,7866,813.31,14101937,163,0,0
924669,924669,2023-04-07T10:09:35Z,1163,8073,5.86,8330975,96,0,0
908809,908809,2023-04-05T15:23:04Z,1275,9974,430.68,8176984,94,0,0
1634759,1634759,2023-06-20T12:41:13Z,1180,9383,291.7,14733673,170,0,0
468740,468740,2023-02-18T16:57:58Z,3198,425,31.17,4208278,48,0,0
963622,963622,2023-04-11T11:29:52Z,2555,5307,330.28,8681392,100,0,0
180985,180985,2023-01-19T18:26:27Z,3393,8175,435.44,1621587,18,0,0
431028,431028,2023-02-14T19:30:03Z,1325,5083,199.24,3871803,44,0,0
1301437,1301437,2023-05-16T15:51:55Z,1579,2716,56.94,11721115,135,0,0
544922,544922,2023-02-26T15:52:51Z,2222,5480,123.14,4895571,56,0,0
1150964,1150964,2023-05-01T04:03:07Z,3826,2745,447.76,10382587,120,0,0
1311527,1311527,2023-05-17T16:25:47Z,1468,1730,142.64,11809547,136,0,0
1483093,1483093,2023-06-04T15:38:15Z,2653,992,386.19,13361895,154,0,0
1742046,1742046,2023-07-01T15:24:39Z,2945,5756,460.69,15693879,181,0,0
529478,529478,2023-02-25T07:03:13Z,3805,5934,475.81,4777393,55,0,0
597786,597786,2023-03-04T09:30:20Z,4257,2676,120.72,5391020,62,0,0
600793,600793,2023-03-04T13:48:06Z,3566,7144,690.39,5406486,62,0,0
757315,757315,2023-03-20T20:20:20Z,19,4850,385.76,6812420,78,0,0
1171228,1171228,2023-05-03T06:44:55Z,78,4804,542.85,10565095,122,0,0
1026387,1026387,2023-04-18T02:58:14Z,1885,9264,324.67,9255494,107,0,0
1654475,1654475,2023-06-22T13:18:12Z,3737,3038,1073.86,14908692,172,1,1
594978,594978,2023-03-04T02:18:03Z,714,1794,633.28,5365083,62,0,0
244272,244272,2023-01-26T11:24:00Z,748,9836,541.35,2201040,25,0,0
189630,189630,2023-01-20T16:29:57Z,4008,2308,1198.19,1700997,19,1,1
1412938,1412938,2023-05-28T10:46:33Z,3733,1663,1034.58,12739593,147,1,1
219040,219040,2023-01-23T16:57:43Z,1301,2190,38.18,1961863,22,0,0
1131734,1131734,2023-04-29T03:08:38Z,655,2972,1200.27,10206518,118,1,1
730105,730105,2023-03-18T06:12:59Z,2097,2515,733.84,6588779,76,0,0
1198140,1198140,2023-05-05T21:27:31Z,1881,4841,1250.75,10790851,124,1,1
1244760,1244760,2023-05-10T17:02:19Z,917,8243,504.99,11206939,129,0,0
444143,444143,2023-02-16T08:39:06Z,675,6129,521.73,4005546,46,0,0
659407,659407,2023-03-10T15:40:54Z,815,4125,215.49,5931654,68,0,0
1403155,1403155,2023-05-27T10:19:19Z,3715,5477,945.64,12651559,146,0,0
1678036,1678036,2023-06-25T02:36:20Z,555,8810,22.74,15129380,175,0,0
348591,348591,2023-02-06T09:19:40Z,2159,2777,1370.21,3143980,36,1,1
323585,323585,2023-02-03T14:47:36Z,4105,290,757.25,2904456,33,0,0
550787,550787,2023-02-27T10:17:55Z,872,3284,469.22,4961875,57,0,0
855481,855481,2023-03-31T07:44:28Z,1848,9254,2115.97,7717468,89,1,1
1040859,1040859,2023-04-19T12:37:44Z,3024,7784,604.98,9376664,108,0,0
1364318,1364318,2023-05-23T09:26:32Z,4486,9014,198.66,12302792,142,0,0
259038,259038,2023-01-27T23:18:24Z,1196,6052,70.39,2330304,26,0,0
596672,596672,2023-03-04T07:38:21Z,1464,1402,1476.5,5384301,62,1,1
273475,273475,2023-01-29T11:57:11Z,4839,8526,60.49,2462231,28,0,0
556272,556272,2023-02-27T20:25:16Z,3422,5678,350.69,4998316,57,0,0
1121543,1121543,2023-04-27T21:37:11Z,4465,1346,416.13,10100231,116,0,0
565175,565175,2023-02-28T17:59:46Z,3973,7312,98.89,5075986,58,0,0
1321046,1321046,2023-05-18T16:38:10Z,4699,6411,1121.52,11896690,137,1,1
87072,87072,2023-01-10T05:12:15Z,4573,3267,91.66,796335,9,0,0
1544483,1544483,2023-06-11T06:43:21Z,3078,2674,1368.23,13934601,161,1,1
1073951,1073951,2023-04-22T23:11:42Z,4321,1091,409.52,9673902,111,0,0
226373,226373,2023-01-24T13:07:43Z,4671,7106,788.76,2034463,23,0,0
1522792,1522792,2023-06-08T18:41:55Z,666,3541,587.14,13718515,158,0,0
1014769,1014769,2023-04-16T16:50:18Z,1359,6011,27.44,9132618,105,0,0
1389078,1389078,2023-05-25T19:14:10Z,4414,206,270.19,12510850,144,0,0
414439,414439,2023-02-13T07:12:02Z,3843,9483,20.09,3741122,43,0,0
1370183,1370183,2023-05-23T19:48:48Z,3836,1440,327.4,12340128,142,0,0
1334900,1334900,2023-05-20T08:37:38Z,4724,9239,644.64,12040658,139,0,0
1298834,1298834,2023-05-16T11:49:48Z,3864,3868,180.26,11706588,135,0,0
1350813,1350813,2023-05-21T19:18:50Z,4174,6254,299.8,12165530,140,0,0
660372,660372,2023-03-10T17:33:26Z,4269,6175,181.7,5938406,68,0,0
1681095,1681095,2023-06-25T09:48:52Z,2350,4226,1157.2,15155332,175,1,1
111894,111894,2023-01-12T14:27:44Z,2513,4520,778.73,1002464,11,0,0
1499269,1499269,2023-06-06T11:14:31Z,942,8610,837.33,13518871,156,0,0
756310,756310,2023-03-20T17:28:55Z,2409,4537,283.18,6802135,78,0,0
1637685,1637685,2023-06-20T17:35:40Z,2527,977,357.69,14751340,170,0,0
206868,206868,2023-01-22T13:01:56Z,2310,9322,678.95,1861316,21,0,0
392067,392067,2023-02-10T17:10:15Z,2772,5050,101.33,3517815,40,0,0
488291,488291,2023-02-20T17:06:43Z,1124,7699,196.54,4381603,50,0,0
755293,755293,2023-03-20T15:37:05Z,2829,1873,57.92,6795425,78,0,0
1331722,1331722,2023-05-19T19:46:27Z,2849,8222,112.72,11994387,138,0,0
1206456,1206456,2023-05-06T17:09:03Z,3674,7747,984.21,10861743,125,0,0
1179737,1179737,2023-05-04T03:23:21Z,872,8812,306.47,10639401,123,0,0
953372,953372,2023-04-10T10:14:46Z,2109,1687,291.26,8590486,99,0,0
1577137,1577137,2023-06-14T12:43:15Z,4742,6774,62.05,14215395,164,0,0
133530,133530,2023-01-14T19:21:17Z,3400,2993,169.58,1192877,13,0,0
981031,981031,2023-04-13T09:03:26Z,3461,7070,996.57,8845406,102,0,0
1413888,1413888,2023-05-28T12:03:33Z,3016,148,265.69,12744213,147,0,0
592282,592282,2023-03-03T15:41:54Z,1200,1546,329.71,5326914,61,0,0
1168522,1168522,2023-05-02T18:00:10Z,454,2684,117.9,10519210,121,0,0
608760,608760,2023-03-05T11:34:52Z,2197,5792,124.02,5484892,63,0,0
1044321,1044321,2023-04-19T18:56:56Z,4037,3713,409.37,9399416,108,0,0
936663,936663,2023-04-08T13:37:55Z,4484,4762,70.93,8429875,97,0,0
1173384,1173384,2023-05-03T10:25:22Z,2822,2536,1513.81,10578322,122,1,1
1157588,1157588,2023-05-01T15:36:15Z,4272,6659,1124.15,10424175,120,1,1
691977,691977,2023-03-14T06:32:04Z,4001,3298,18.53,6244324,72,0,0
891662,891662,2023-04-03T20:32:58Z,3416,9697,641.35,8022778,92,0,0
510800,510800,2023-02-23T07:45:24Z,1170,668,1143.41,4607124,53,1,1
390725,390725,2023-02-10T14:44:59Z,763,2141,491.11,3509099,40,0,0
393826,393826,2023-02-11T02:15:06Z,223,46,532.63,3550506,41,0,0
1705104,1705104,2023-06-27T17:52:02Z,956,8641,138.97,15357122,177,0,0
824133,824133,2023-03-27T20:12:14Z,2827,9275,777.38,7416734,85,0,0
351961,351961,2023-02-06T14:13:44Z,477,4533,101.45,3161624,36,0,0
1338752,1338752,2023-05-20T14:23:42Z,826,4544,417.48,12061422,139,0,0
575272,575272,2023-03-01T20:22:11Z,3795,695,1007.77,5170931,59,1,1
1028712,1028712,2023-04-18T08:52:58Z,3140,6578,650.9,9276778,107,0,0
133419,133419,2023-01-14T19:00:44Z,4920,8747,206.38,1191644,13,0,0
159494,159494,2023-01-17T14:02:01Z,4602,4788,17.27,1432921,16,0,0
20834,20834,2023-01-03T07:00:08Z,4507,8259,271.11,198008,2,0,0
662830,662830,2023-03-11T05:40:01Z,4153,6313,296.97,5982001,69,0,0
691937,691937,2023-03-14T06:27:38Z,328,8510,1082.63,6244058,72,1,1
56417,56417,2023-01-06T18:15:18Z,3423,8082,48.99,497718,5,0,0
322677,322677,2023-02-03T13:23:16Z,1107,8370,25.23,2899396,33,0,0
54912,54912,2023-01-06T15:10:40Z,1108,2170,277.32,486640,5,0,0
1290681,1290681,2023-05-15T13:44:55Z,1929,3061,215.04,11627095,134,0,0
1157849,1157849,2023-05-01T15:59:00Z,1931,4264,119.6,10425540,120,0,0
1701568,1701568,2023-06-27T11:52:19Z,3416,4429,870.13,15335539,177,0,0
238949,238949,2023-01-25T18:33:32Z,2103,2346,787.38,2140412,24,0,0
806762,806762,2023-03-26T05:54:20Z,3900,8371,225.16,7278860,84,0,0
1332145,1332145,2023-05-19T21:41:38Z,2501,4505,444.27,12001298,138,0,0
126437,126437,2023-01-14T07:01:32Z,1284,1660,240.54,1148492,13,0,0
1531346,1531346,2023-06-09T16:19:37Z,4398,3399,523.05,13796377,159,0,0
15939,15939,2023-01-02T14:22:49Z,925,1868,404.82,138169,1,0,0
1094389,1094389,2023-04-25T06:25:09Z,3153,5774,582.87,9872709,114,0,0
779885,779885,2023-03-23T09:23:32Z,2037,4376,20.8,7032212,81,0,0
1644092,1644092,2023-06-21T12:14:27Z,81,3733,104.6,14818467,171,0,0
1486555,1486555,2023-06-05T05:41:15Z,3977,208,614.5,13412475,155,0,0
340334,340334,2023-02-05T11:25:53Z,2970,3808,94.03,3065153,35,0,0
